77,"ZRX
0x",ZRX,"$104,689,376",$0.209379,"500,000,000
                        
                        
                            *","$3,908,538",0.05%,4.14%,-5.42%
78,"BNT
Bancor",BNT,"$103,318,935",$2.53,"40,772,871
                        
                        
                            *","$2,914,085",0.32%,-0.82%,-2.05%
79,"ETP
Metaverse ETP",ETP,"$103,123,938",$2.82,"36,542,227","$2,996,858",-0.30%,-4.06%,-24.18%
80,"PURA
Pura",PURA,"$100,720,894",$0.585801,"171,937,093","$478,775",0.27%,-3.77%,-11.13%
81,"VEN
VeChain",VEN,"$99,897,175",$0.360428,"277,162,633
                        
                        
                            *","$6,719,915",0.47%,12.13%,45.70%
82,"SNGLS
SingularDTV",SNGLS,"$95,524,514",$0.159208,"600,000,000
                        
                        
                            *","$5,070,434",0.12%,11.11%,16.16%
83,"XVG
Verge",XVG,"$90,545,938",$0.006315,"14,338,739,179","$2,612,960",0.82%,4.45%,9.52%
84,"PPC
Peercoin",PPC,"$86,276,990",$3.52,"24,486,134","$2,551,696",0.04%,-1.56%,80.56%
85,"POT
PotCoin",POT,"$85,641,844",$0.391334,"218,845,963
                        
                        
                            *","$4,519,567",0.65%,4.34%,39.06%
86,"STORJ
Storj",STORJ,"$84,070,957",$0.797534,"105,413,683
                        
                        
                            *","$7,446,621",0.78%,8.01%,8.89%
87,"NXS
Nexus",NXS,"$82,095,865",$1.52,"54,142,537","$480,787",0.37%,-1.31%,3.73%
88,"UNITY
SuperNET",UNITY,"$80,153,641",$98.22,"816,061
                        
                        
                            *","$24,627",-0.10%,46.24%,210.80%
89,"LRC
Loopring",LRC,"$78,259,356",$0.273471,"286,170,756
                        
                        
                            *","$6,693,305",1.04%,18.13%,32.07%
90,"QSP
Quantstamp",QSP,"$77,812,478",$0.126050,"617,314,171
                        
                        
                            *","$19,111,850",0.93%,6.81%,-26.05%
91,"LKK
Lykke",LKK,"$76,950,487",$0.292164,"263,381,531
                        
                        
                            *","$258,756",-0.12%,-4.45%,-15.67%
92,"EDG
Edgeless",EDG,"$73,560,259",$0.896570,"82,046,288
                        
                        
                            *","$1,780,259",0.59%,2.81%,15.75%
93,"ZEN
ZenCash",ZEN,"$73,382,981",$29.88,"2,455,648","$1,627,390",0.24%,0.30%,-10.50%
94,"ATM
ATMChain",ATM,"$72,344,680",$0.020011,"3,615,253,002
                        
                        
                            *","$58,382",-1.43%,-2.88%,-2.34%
95,"SUB
Substratum",SUB,"$72,315,381",$0.319850,"226,091,449
                        
                        
                            *","$3,214,860",0.93%,2.43%,-6.47%
96,"LINK
ChainLink",LINK,"$72,206,945",$0.206306,"350,000,000
                        
                        
                            *","$7,495,940",1.22%,18.79%,14.93%
